id,first_name,last_name,bats,throws,weight,height,debut,final_game,birth_year,birth_month,birth_day,birth_city,birth_state,birth_country
353,Doc,Amole,R,L,165,69,1897-08-19,1898-05-17,1874,1,1,Coatesville,PA,USA
354,Sandy,Amoros,L,L,170,67,1952-08-22,1960-10-02,1930,1,30,Matanzas,Matanzas,Cuba
355,Vicente,Amor,R,R,182,75,1955-04-16,1957-08-26,1932,8,8,"La Habana","La Habana",Cuba
356,Walter,Ancker,R,R,190,73,1915-09-03,1915-09-14,1893,4,10,"New York",NY,USA
357,Alf,Anderson,R,R,165,71,1941-04-20,1946-04-21,1914,1,28,Gainesville,GA,USA
358,Allan,Anderson,L,L,178,71,1986-06-11,1991-10-06,1964,1,7,Lancaster,OH,USA
359,Andy,Anderson,R,R,172,71,1948-05-10,1949-10-02,1922,11,13,Bremerton,WA,USA
360,Bill,Anderson,R,L,165,73,1925-09-10,1925-09-17,1895,11,28,Boston,MA,USA
361,Bob,Anderson,R,R,210,76,1957-07-31,1963-09-25,1935,9,29,"East Chicago",IN,USA
362,Brady,Anderson,L,L,170,73,1988-04-04,2002-05-20,1964,1,18,"Silver Spring",MD,USA
363,Brian,Anderson,B,L,190,73,1993-09-10,2005-05-08,1972,4,26,Portsmouth,VA,USA
368,Bud,Anderson,R,R,210,75,1982-06-11,1983-10-02,1956,5,27,Westbury,NY,USA
371,Craig,Anderson,R,R,205,74,1961-06-23,1964-05-31,1938,7,1,Washington,DC,USA
372,Dave,Anderson,,L,,,1889-08-24,1890-09-29,1868,10,10,Chester,PA,USA
373,Dave,Anderson,R,R,185,74,1983-05-08,1992-10-03,1960,8,1,Louisville,KY,USA
376,Dwain,Anderson,R,R,165,71,1971-09-03,1974-05-28,1947,11,23,Oakland,CA,USA
377,Ferrell,Anderson,R,R,200,73,1946-04-16,1953-09-01,1918,1,9,"Maple City",KS,USA
378,Fred,Anderson,R,R,180,74,1909-09-25,1918-07-09,1885,12,11,Calahan,NC,USA
379,Garret,Anderson,L,L,190,75,1994-07-27,2010-08-06,1972,6,30,"Los Angeles",CA,USA
380,George,Anderson,L,R,160,68,1914-05-26,1918-09-02,1889,9,26,Cleveland,OH,USA
381,Goat,Anderson,L,R,,,1907-04-11,1907-10-06,1880,1,13,Cleveland,OH,USA
383,Hal,Anderson,R,R,160,71,1932-04-12,1932-04-24,1904,2,10,"St. Louis",MO,USA
384,Harry,Anderson,L,R,205,75,1957-04-18,1961-05-05,1931,9,10,"North East",MD,USA
387,Jim,Anderson,R,R,170,72,1978-07-02,1984-09-26,1957,2,23,"Los Angeles",CA,USA
388,Jimmy,Anderson,L,L,195,73,1999-07-04,2004-07-21,1976,1,22,Portsmouth,VA,USA
389,John,Anderson,B,R,180,74,1894-09-08,1908-10-02,1873,12,14,Sarpsborg,,Norway
390,John,Anderson,R,R,190,73,1958-08-17,1962-06-23,1929,11,23,"St. Paul",MN,USA
393,Kent,Anderson,R,R,180,73,1989-04-15,1990-09-06,1963,8,12,Florence,SC,USA
394,Larry,Anderson,R,R,190,75,1974-09-25,1977-06-26,1952,12,3,Maywood,CA,USA
